study,sample,class,title
GSE1993,GSM35734,GB,GB238
GSE1993,GSM35735,A,A48
GSE1993,GSM35736,PA,PA67
GSE1993,GSM35737,AA,AA86
GSE1993,GSM35738,GB,GB1
GSE1993,GSM35739,GB,GB97
GSE1993,GSM35740,GB,GB69
GSE1993,GSM35741,GB,GB11
GSE1993,GSM35742,GB,GB28
GSE1993,GSM35743,A,A9
GSE1993,GSM35744,GB,GB103
GSE1993,GSM35745,GB,GB12
GSE1993,GSM35746,AA,AA3
GSE1993,GSM35747,GB,GB2
GSE1993,GSM35748,GB,GB32
GSE1993,GSM35749,GB,GB3
GSE1993,GSM35750,GB,GB227
GSE1993,GSM35751,GB,GB213
GSE1993,GSM35752,GB,GB100
GSE1993,GSM35753,GB,GB102
GSE1993,GSM35754,AA,AA100
GSE1993,GSM35755,AA,AA92
GSE1993,GSM35756,AA,AA93
GSE1993,GSM35757,AA,AA2
GSE1993,GSM35758,GB,GB22
GSE1993,GSM35759,GB,GB17
GSE1993,GSM35760,AA,AA101
GSE1993,GSM35761,GB,GB101
GSE1993,GSM35762,GB,GB131
GSE1993,GSM35763,AA,AA73
GSE1993,GSM35764,AA,AA76
GSE1993,GSM35765,GB,GB63
GSE1993,GSM35766,GB,GB133
GSE1993,GSM35767,GB,GB55
GSE1993,GSM35768,AA,AA18
GSE1993,GSM35769,PA,PA68
GSE1993,GSM35770,GB,GB56
GSE1993,GSM35771,GB,GB135
GSE1993,GSM35772,GB,GB136
GSE1993,GSM35773,GB,GB139
GSE1993,GSM35774,AA,AA20
GSE1993,GSM35775,AA,AA19
GSE1993,GSM35776,A,A26
GSE1993,GSM35777,GB,GB81
GSE1993,GSM35778,GB,GB82
GSE1993,GSM35779,AA,AA13
GSE1993,GSM35780,AA,AA105
GSE1993,GSM35781,A,A36
GSE1993,GSM35782,AA,AA29
GSE1993,GSM35783,A,A30
GSE1993,GSM35784,AA,AA106
GSE1993,GSM35785,GB,GB84
GSE1993,GSM35786,GB,GB87
GSE1993,GSM35787,GB,GB44
GSE1993,GSM35788,GB,GB154
GSE1993,GSM35789,AA,AA15
GSE1993,GSM35790,GB,GB153
GSE1993,GSM35791,GB,GB126
GSE1993,GSM35792,GB,GB35
GSE1993,GSM35793,AA,AA14
GSE1993,GSM35794,GB,GB50
GSE1993,GSM35795,GB,GB245
GSE1993,GSM35796,AA,AA49
GSE1993,GSM35797,GB,GB49
GSE1993,GSM35798,GB,GB130
GSE4271,GSM96950,GB,PRB3744 (HG-U133A)
GSE4271,GSM96951,GB,PRB3745 (HG-U133A)
GSE4271,GSM96952,GB,PRB3746 (HG-U133A)
GSE4271,GSM96953,GB,PRB3747 (HG-U133A)
GSE4271,GSM96954,GB,PRB3748 (HG-U133A)
GSE4271,GSM96955,GB,PRB3749 (HG-U133A)
GSE4271,GSM96956,GB,PRB3751 (HG-U133A)
GSE4271,GSM96957,GB,PRB3752 (HG-U133A)
GSE4271,GSM96958,GB,PRB3753 (HG-U133A)
GSE4271,GSM96959,GB,PRB3754 (HG-U133A)
GSE4271,GSM96960,GB,PRB3755 (HG-U133A)
GSE4271,GSM96961,GB,PRB3756 (HG-U133A)
GSE4271,GSM96962,GB,PRB3757 (HG-U133A)
GSE4271,GSM96963,GB,PRB3758 (HG-U133A)
GSE4271,GSM96964,GB,PRB3759 (HG-U133A)
GSE4271,GSM96965,GB,PRB3774 (HG-U133A)
GSE4271,GSM96966,GB,PRB3775 (HG-U133A)
GSE4271,GSM96967,GB,PRB3776 (HG-U133A)
GSE4271,GSM96968,GB,PRB3777 (HG-U133A)
GSE4271,GSM96969,GB,PRB3778 (HG-U133A)
GSE4271,GSM96970,GB,PRB3779 (HG-U133A)
GSE4271,GSM96971,GB,PRB3780 (HG-U133A)
GSE4271,GSM96972,GB,PRB3781 (HG-U133A)
GSE4271,GSM96973,GB,PRB3782 (HG-U133A)
GSE4271,GSM96974,GB,PRB3784 (HG-U133A)
GSE4271,GSM96975,GB,PRB3785 (HG-U133A)
GSE4271,GSM96976,GB,PRB3786 (HG-U133A)
GSE4271,GSM96977,GB,PRB3825 (HG-U133A)
GSE4271,GSM96978,GB,PRB3826 (HG-U133A)
GSE4271,GSM96979,GB,PRB3827 (HG-U133A)
GSE4271,GSM96980,GB,PRB3830 (HG-U133A)
GSE4271,GSM96981,GB,PRB3832 (HG-U133A)
GSE4271,GSM96982,GB,PRB3833 (HG-U133A)
GSE4271,GSM96983,GB,PRB3834 (HG-U133A)
GSE4271,GSM96984,GB,PRB3836 (HG-U133A)
GSE4271,GSM96985,GB,PRB3839 (HG-U133A)
GSE4271,GSM96986,GB,PRB3840 (HG-U133A)
GSE4271,GSM96987,GB,PRB3895 (HG-U133A)
GSE4271,GSM96988,GB,PRB3897 (HG-U133A)
GSE4271,GSM96989,GB,PRB3899 (HG-U133A)
GSE4271,GSM96990,GB,PRB3900 (HG-U133A)
GSE4271,GSM96991,GB,PRB3901 (HG-U133A)
GSE4271,GSM96992,GB,PRB3903 (HG-U133A)
GSE4271,GSM96993,GB,PRB3905 (HG-U133A)
GSE4271,GSM96994,GB,PRB3906 (HG-U133A)
GSE4271,GSM96995,GB,PRB3907 (HG-U133A)
GSE4271,GSM96996,GB,PRB3910 (HG-U133A)
GSE4271,GSM96997,GB,PRB4094 (HG-U133A)
GSE4271,GSM96998,GB,PRB4095 (HG-U133A)
GSE4271,GSM96999,GB,PRB4096 (HG-U133A)
GSE4271,GSM97000,GB,PRB4097 (HG-U133A)
GSE4271,GSM97001,GB,PRB4098 (HG-U133A)
GSE4271,GSM97002,GB,PRB4102 (HG-U133A)
GSE4271,GSM97003,GB,PRB4103 (HG-U133A)
GSE4271,GSM97004,GB,PRB4122 (HG-U133A)
GSE4271,GSM97005,GB,PRB4123 (HG-U133A)
GSE4271,GSM97006,GB,PRB4124 (HG-U133A)
GSE4271,GSM97007,GB,PRB4125 (HG-U133A)
GSE4271,GSM97008,GB,PRB4126 (HG-U133A)
GSE4271,GSM97009,GB,PRB4127 (HG-U133A)
GSE4271,GSM97010,GB,PRB4128 (HG-U133A)
